Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,363.089996,369.000000,360.109985,362.059998,362.059998,280400
2021-07-30,355.140015,365.945007,355.140015,358.920013,358.920013,396100
2021-08-02,359.100006,362.394989,347.339996,358.989990,358.989990,538000
2021-08-03,360.790009,367.154999,355.420013,359.170013,359.170013,485100
2021-08-04,360.450012,371.674988,360.239990,363.179993,363.179993,916900
2021-08-05,363.109985,377.000000,357.190002,376.720001,376.720001,819300
2021-08-06,375.540009,379.489990,367.000000,373.450012,373.450012,511900
2021-08-09,374.510010,381.065002,371.489990,380.380005,380.380005,534900
2021-08-10,381.940002,382.440002,361.109985,364.470001,364.470001,658100
2021-08-11,365.190002,367.869995,354.170013,360.929993,360.929993,323900
2021-08-12,359.589996,375.140015,359.130005,372.790009,372.790009,659400
2021-08-13,375.880005,382.980011,370.559998,377.779999,377.779999,377700
2021-08-16,375.200012,377.140015,358.779999,367.450012,367.450012,926700
2021-08-17,363.220001,366.380005,357.519989,365.000000,365.000000,543900
2021-08-18,367.320007,372.820007,364.369995,366.540009,366.540009,355500
2021-08-19,364.239990,369.959991,360.200012,364.899994,364.899994,298000
2021-08-20,367.119995,370.489990,361.899994,367.660004,367.660004,325300
2021-08-23,369.829987,379.570007,369.829987,375.760010,375.760010,375300
2021-08-24,379.239990,387.820007,378.209991,384.170013,384.170013,472100
2021-08-25,385.779999,394.519989,382.049988,393.750000,393.750000,412600
2021-08-26,392.119995,400.588989,387.489990,388.760010,388.760010,452800
2021-08-27,393.529999,400.500000,391.190002,395.609985,395.609985,504300
2021-08-30,394.630005,402.790009,392.750000,396.174988,396.174988,478000
2021-08-31,396.100006,397.364990,390.899994,391.829987,391.829987,515300
2021-09-01,390.899994,396.929993,387.970001,393.429993,393.429993,421100
2021-09-02,394.000000,406.329987,393.364990,401.649994,401.649994,1173600
2021-09-03,462.769989,508.970001,458.540009,507.410004,507.410004,6090400
2021-09-07,514.799988,515.000000,489.000000,489.750000,489.750000,1551700
2021-09-08,486.889008,490.277008,467.190002,471.739990,471.739990,2231100
2021-09-09,473.230011,477.950012,466.054993,474.929993,474.929993,867400
2021-09-10,479.200012,499.000000,475.510010,488.799988,488.799988,1295600
2021-09-13,485.510010,488.380005,470.890015,485.000000,485.000000,809700
2021-09-14,486.470001,506.480011,486.470001,505.209991,505.209991,924300
2021-09-15,503.809998,506.440002,495.000000,503.500000,503.500000,1121800
2021-09-16,501.279999,510.500000,496.529999,509.649994,509.649994,921400
2021-09-17,512.809998,514.130005,502.399994,506.989990,506.989990,1976200
